project,HASH,DATE,Cyclomatic,PreDays,LA,LD,SIZE,SAME,CUR_file,PREV_file,Top_NS,Bottom_NS,NF,File_entropy,Churn_entropy,NC,NFC,Fuzzy_score,NB_score,NBM_score,DMN_score,COMP_score,crash_label
BrandroidTools_OpenExplorer,a19d1c83eb48418d17364dc24cac8f0f3b314e1d,2011-06-03,358,0.0,96,0,2084,0,11,0,1,1,1,0.0,0.0,1,0,0.4999999999743686,0.0003584544647034,0.0003584544647034,0.0003584544647034,0.0021078256728502,NON_CRASH
BrandroidTools_OpenExplorer,0e6a5875f1006aa516c9588891bda6f552bbcd6b,2011-06-28,560,25.0,548,245,3172,11,13,11,1,1,6,2.22125183600447,2.05121971486762,12,0,0.4957459173478118,0.0246324431769253,0.0246324431769253,0.0246324431769253,0.1294998876332979,NON_CRASH
BrandroidTools_OpenExplorer,46fe7faa9e6342507743892c3d6d1f1489a98e29,2011-06-28,568,0.0,65,43,3199,10,10,13,1,1,2,0.91829583405449,0.729273941844941,3,0,0.4999994057153473,0.7669112714431087,0.7669112714431087,0.7669112714431087,0.95097688377811,NON_CRASH
BrandroidTools_OpenExplorer,378db8cd01875b852489e7f6dc10b8c1aaebc5d2,2011-07-05,581,7.0,168,110,3266,8,8,10,1,1,3,1.56127812445913,1.23720945236283,8,0,0.4330931024926206,0.061894956505228,0.061894956505228,0.061894956505228,0.2800573112941916,NON_CRASH
BrandroidTools_OpenExplorer,cbef418a57072fd958c7c98d4a1e70109a134600,2011-08-31,600,57.0,533,145,3053,22,24,22,2,2,3,1.5,0.765660031357724,4,0,0.2616262481967246,0.0785463821719711,0.0785463821719711,0.0785463821719711,0.3342775886314823,NON_CRASH
BrandroidTools_OpenExplorer,077a4362ac96b9d1c513999cb4113b3c8244abad,2011-08-31,600,0.0,521,7,3348,8,22,8,1,2,2,1.0,0.146094250120136,2,0,0.4468171126281102,0.237224840719547,0.237224840719547,0.237224840719547,0.646892407813873,NON_CRASH
BrandroidTools_OpenExplorer,dd373cd355e57e9f36cd3a318a6712264f834f53,2011-09-02,644,2.0,102,95,3197,4,4,10,1,1,2,1.0,0.143147209340947,2,0,0.4882963453105671,0.0826564358503665,0.0826564358503665,0.0826564358503665,0.3467338216450547,NON_CRASH
BrandroidTools_OpenExplorer,f1eb2b74f97b48cc1d21304b60e38a1d3f78165c,2011-09-02,644,0.0,139,107,3197,10,10,24,1,1,3,1.58496250072116,0.967158393864356,3,0,0.4989279993412059,0.310044483132197,0.310044483132197,0.310044483132197,0.7259826201150887,NON_CRASH
BrandroidTools_OpenExplorer,96acf2f63a59e519c6553963d13d05854b429b61,2011-09-17,744,15.0,677,526,3651,4,15,4,1,1,3,1.52192809488736,0.599326335811211,5,0,0.49534409006507,0.0001205063804075,0.0001205063804075,0.0001205063804075,0.000709439787673,NON_CRASH
BrandroidTools_OpenExplorer,1e765f8eab18ff3ece77c0f26a432022c3548ce1,2011-09-23,804,6.0,565,127,3990,15,18,15,1,2,4,2.0,1.17635307373922,4,0,0.4277971184088776,0.0951133278120259,0.0951133278120259,0.0951133278120259,0.3826076381155728,NON_CRASH
